mode,matrix_layout,data_layout,looking,m,b,repeat,num_systems,num_threads,time_ms,gflops,max_rel_error
fp32_fp64,tiled,col_major,right,4096,64,1,4,4,7.468269,8.985865935,2.972434169e-16
fp32_fp64,tiled,col_major,right,4096,64,2,4,4,6.131605,10.94474677,2.972434169e-16
fp32_fp64,tiled,col_major,right,4096,64,3,4,4,6.119805,10.96585006,2.972434169e-16
fp32_fp64,tiled,col_major,right,4096,64,4,4,4,6.139468,10.9307295,2.972434169e-16
fp32,tiled,col_major,right,4096,64,0,4,4,5.493891,12.21517937,1.259460393e-06
fp32,tiled,col_major,right,4096,64,1,4,4,5.313953,12.6288027,1.259460393e-06
fp32,tiled,col_major,right,4096,64,2,4,4,4.225633,15.88137541,1.259460393e-06
fp32,tiled,col_major,right,4096,64,3,4,4,3.855177,17.40746638,1.259460393e-06
fp32,tiled,col_major,right,4096,64,4,4,4,3.859335,17.38871179,1.259460393e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,64,0,4,4,8.338955,8.047634746,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,1,4,4,7.168995,9.360986303,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,2,4,4,5.97633,11.2291095,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,3,4,4,5.96421,11.25192842,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,4,4,4,5.957978,11.26369785,2.759621875e-16
direct_fp32_mkl,contiguous,col_major,direct,4096,64,0,4,4,5.46614,12.27719451,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,1,4,4,4.014507,16.71658911,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,2,4,4,3.585432,18.71709295,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,3,4,4,3.061002,21.92382233,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,4,4,4,3.064886,21.8960392,1.237329019e-06
fp64,tiled,col_major,right,4096,128,0,4,4,8.905752,7.535451695,3.569960294e-16
fp64,tiled,col_major,right,4096,128,1,4,4,7.334642,9.149575944,3.569960294e-16
fp64,tiled,col_major,right,4096,128,2,4,4,6.499811,10.32474083,3.569960294e-16
fp64,tiled,col_major,right,4096,128,3,4,4,6.470279,10.37186557,3.569960294e-16
fp64,tiled,col_major,right,4096,128,4,4,4,6.516831,10.29777571,3.569960294e-16
fp32_fp64,tiled,col_major,right,4096,128,0,4,4,10.406424,6.448792015,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,1,4,4,7.220228,9.294562997,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,2,4,4,5.887818,11.39791753,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,3,4,4,5.858121,11.45569783,3.555111504e-16
fp32_fp64,tiled,col_major,right,4096,128,4,4,4,5.869909,11.4326924,3.555111504e-16
fp32,tiled,col_major,right,4096,128,0,4,4,4.735733,14.17074485,1.266316863e-06
fp32,tiled,col_major,right,4096,128,1,4,4,4.644194,14.45005613,1.266316863e-06
fp32,tiled,col_major,right,4096,128,2,4,4,4.677319,14.34772014,1.266316863e-06
fp32,tiled,col_major,right,4096,128,3,4,4,3.527005,19.02715307,1.266316863e-06
fp32,tiled,col_major,right,4096,128,4,4,4,3.463547,19.37576248,1.266316863e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,128,0,4,4,8.099015,8.286052563,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,1,4,4,7.292484,9.202469831,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,2,4,4,5.967522,11.24568355,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,3,4,4,5.943864,11.29044406,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,128,4,4,4,5.924805,11.32676333,2.759621875e-16
direct_fp32_mkl,contiguous,col_major,direct,4096,128,0,4,4,4.147714,16.1797231,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,1,4,4,3.792218,17.69646787,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,2,4,4,3.672925,18.27123178,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,3,4,4,3.687433,18.19934464,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,4,4,4,3.059916,21.93160335,1.237329019e-06
fp64,tiled,col_major,right,4096,256,0,4,4,9.129518,7.350756524,3.837368241e-16
fp64,tiled,col_major,right,4096,256,1,4,4,7.829797,8.570958353,3.837368241e-16
fp64,tiled,col_major,right,4096,256,2,4,4,6.273935,10.6964551,3.837368241e-16
fp64,tiled,col_major,right,4096,256,3,4,4,6.246731,10.74303728,3.837368241e-16
fp64,tiled,col_major,right,4096,256,4,4,4,6.216363,10.79551886,3.837368241e-16
fp32_fp64,tiled,col_major,right,4096,256,0,4,4,10.258089,6.542043455,4.041175902e-16
fp32_fp64,tiled,col_major,right,4096,256,1,4,4,7.375609,9.098755642,4.041175902e-16
fp32_fp64,tiled,col_major,right,4096,256,2,4,4,5.973058,11.23526073,4.041175902e-16
fp32_fp64,tiled,col_major,right,4096,256,3,4,4,5.965285,11.24990072,4.041175902e-16
fp32_fp64,tiled,col_major,right,4096,256,4,4,4,5.949883,11.27902246,4.041175902e-16
fp32,tiled,col_major,right,4096,256,0,4,4,4.42651,15.1606715,1.255167052e-06
fp32,tiled,col_major,right,4096,256,1,4,4,4.349062,15.4306524,1.255167052e-06
fp32,tiled,col_major,right,4096,256,2,4,4,4.290862,15.63994927,1.255167052e-06
fp32,tiled,col_major,right,4096,256,3,4,4,3.739282,17.94699196,1.255167052e-06
fp32,tiled,col_major,right,4096,256,4,4,4,3.309704,20.27639451,1.255167052e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,256,0,4,4,8.097602,8.287498447,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,1,4,4,7.678792,8.739507985,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,2,4,4,5.985309,11.21226389,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,3,4,4,5.954021,11.27118363,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,256,4,4,4,5.944795,11.28867589,2.759621875e-16
direct_fp32_mkl,contiguous,col_major,direct,4096,256,0,4,4,4.098541,16.3738423,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,1,4,4,3.993853,16.80303807,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,2,4,4,3.911826,17.15538063,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,3,4,4,3.134976,21.40650008,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,256,4,4,4,3.128522,21.45066073,1.237329019e-06
fp64,tiled,col_major,right,4096,512,0,4,4,10.473939,6.407223109,4.224568318e-16
fp64,tiled,col_major,right,4096,512,1,4,4,7.184399,9.340915503,4.224568318e-16
fp64,tiled,col_major,right,4096,512,2,4,4,5.981152,11.2200566,4.224568318e-16
fp64,tiled,col_major,right,4096,512,3,4,4,5.957267,11.26504217,4.224568318e-16
fp64,tiled,col_major,right,4096,512,4,4,4,5.968344,11.24413472,4.224568318e-16
fp32_fp64,tiled,col_major,right,4096,512,0,4,4,15.291594,4.388611416,4.630166013e-16
fp32_fp64,tiled,col_major,right,4096,512,1,4,4,9.694193,6.92258386,4.630166013e-16
fp32_fp64,tiled,col_major,right,4096,512,2,4,4,9.679679,6.932963789,4.630166013e-16
fp32_fp64,tiled,col_major,right,4096,512,3,4,4,9.672757,6.937925144,4.630166013e-16
fp32_fp64,tiled,col_major,right,4096,512,4,4,4,9.679765,6.932902193,4.630166013e-16
fp32,tiled,col_major,right,4096,512,0,4,4,4.152919,16.15944448,1.256850958e-06
fp32,tiled,col_major,right,4096,512,1,4,4,4.08972,16.40915857,1.256850958e-06
fp32,tiled,col_major,right,4096,512,2,4,4,4.080947,16.4444341,1.256850958e-06
fp32,tiled,col_major,right,4096,512,3,4,4,3.432568,19.55062915,1.256850958e-06
fp32,tiled,col_major,right,4096,512,4,4,4,3.132792,21.42142345,1.256850958e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,512,0,4,4,8.15041,8.233802226,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,512,1,4,4,7.51112,8.934601498,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,512,2,4,4,6.520534,10.29192762,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,512,3,4,4,5.936429,11.30458462,2.759621875e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,512,4,4,4,5.945653,11.28704686,2.759621875e-16
direct_fp32_mkl,contiguous,col_major,direct,4096,512,0,4,4,4.122034,16.2805217,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,512,1,4,4,3.958509,16.95306591,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,512,2,4,4,3.932698,17.06433192,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,512,3,4,4,3.151409,21.29487604,1.237329019e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,512,4,4,4,2.986123,22.47357661,1.237329019e-06
