mode,matrix_layout,data_layout,looking,m,b,repeat,num_systems,num_threads,time_ms,gflops,max_rel_error
fp64,tiled,col_major,right,4096,32,6,40,40,41.257657,16.26579619,2.728818793e-16
fp64,tiled,col_major,right,4096,32,7,40,40,41.291689,16.25239016,2.728818793e-16
fp64,tiled,col_major,right,4096,32,8,40,40,41.168244,16.30112375,2.728818793e-16
fp64,tiled,col_major,right,4096,32,9,40,40,41.33208,16.23650782,2.728818793e-16
fp32_fp64,tiled,col_major,right,4096,32,0,40,40,36.35813,18.45773256,2.682729408e-16
fp32_fp64,tiled,col_major,right,4096,32,1,40,40,22.228638,30.19027257,2.682729408e-16
fp32_fp64,tiled,col_major,right,4096,32,2,40,40,17.26872,38.86151608,2.682729408e-16
fp32_fp64,tiled,col_major,right,4096,32,3,40,40,17.246114,38.91245529,2.682729408e-16
fp32_fp64,tiled,col_major,right,4096,32,4,40,40,17.248131,38.90790486,2.682729408e-16
fp32_fp64,tiled,col_major,right,4096,32,5,40,40,17.337397,38.70757761,2.682729408e-16
fp32_fp64,tiled,col_major,right,4096,32,6,40,40,17.344402,38.69194452,2.682729408e-16
fp32_fp64,tiled,col_major,right,4096,32,7,40,40,17.280061,38.83601105,2.682729408e-16
fp32_fp64,tiled,col_major,right,4096,32,8,40,40,25.145004,26.6887466,2.682729408e-16
fp32_fp64,tiled,col_major,right,4096,32,9,40,40,18.39116,36.48973964,2.682729408e-16
fp32,tiled,col_major,right,4096,32,0,40,40,17.66802,37.98323977,1.267313693e-06
fp32,tiled,col_major,right,4096,32,1,40,40,17.553605,38.23081584,1.267313693e-06
fp32,tiled,col_major,right,4096,32,2,40,40,17.560213,38.21642938,1.267313693e-06
fp32,tiled,col_major,right,4096,32,3,40,40,17.553253,38.23158249,1.267313693e-06
fp32,tiled,col_major,right,4096,32,4,40,40,17.651555,38.01866974,1.267313693e-06
fp32,tiled,col_major,right,4096,32,5,40,40,17.536133,38.26890683,1.267313693e-06
fp32,tiled,col_major,right,4096,32,6,40,40,17.56531,38.20533996,1.267313693e-06
fp32,tiled,col_major,right,4096,32,7,40,40,17.574954,38.18437533,1.267313693e-06
fp32,tiled,col_major,right,4096,32,8,40,40,17.549243,38.2403184,1.267313693e-06
fp32,tiled,col_major,right,4096,32,9,40,40,17.579533,38.17442932,1.267313693e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,32,0,40,40,45.243865,14.8326992,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,1,40,40,41.250717,16.26853274,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,2,40,40,44.271283,15.15855414,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,3,40,40,42.336883,15.85115843,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,4,40,40,40.576571,16.53882089,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,5,40,40,40.92335,16.39867313,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,6,40,40,40.511916,16.56521602,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,7,40,40,40.60443,16.52747348,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,8,40,40,40.529517,16.55802214,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,32,9,40,40,40.476547,16.57969095,2.796139708e-16
direct_fp32_mkl,contiguous,col_major,direct,4096,32,0,40,40,20.595049,32.58494991,1.257705084e-06
